"n_estimators","learning_rate","max_depth","score"
"80","0.3","3","0.2660401002506266"
"80","0.3","4","0.2934607645875252"
"80","0.3","5","0.3543712991988854"
"80","0.3","6","0.40434950933360264"
"80","0.5","3","0.369960167103857"
"80","0.5","4","0.424096694559328"
"80","0.5","5","0.2819439388423735"
"80","0.5","6","0.2881994261119082"
"80","0.6","3","0.41596599833687514"
"80","0.6","4","0.30393600314095015"
"80","0.6","5","0.2736125805520823"
"80","0.6","6","0.2687261632341724"
"80","0.7","3","0.4147191082399139"
"80","0.7","4","0.4166058394160584"
"80","0.7","5","0.29325022803283674"
"80","0.7","6","0.36854677521571677"
"80","0.8","3","0.3755383290267011"
"80","0.8","4","0.31464943948318447"
"80","0.8","5","0.2847765952459093"
"80","0.8","6","0.40352980352980355"
"80","1.0","3","0.3113915715539947"
"80","1.0","4","0.27745650454725185"
"80","1.0","5","0.3429911444351877"
"80","1.0","6","0.2764100814117876"
"90","0.3","3","0.29023809523809524"
"90","0.3","4","0.363849765258216"
"90","0.3","5","0.36447230929989544"
"90","0.3","6","0.33418949771689493"
"90","0.5","3","0.27611003861003863"
"90","0.5","4","0.38534278959810875"
"90","0.5","5","0.28645726583316256"
"90","0.5","6","0.28645726583316256"
"90","0.6","3","0.36900785775368283"
"90","0.6","4","0.30530533021450257"
"90","0.6","5","0.40227156356188615"
"90","0.6","6","0.3054072756030051"
"90","0.7","3","0.3106295620437956"
"90","0.7","4","0.39625956699127435"
"90","0.7","5","0.2572717137934529"
"90","0.7","6","0.2872340425531915"
"90","0.8","3","0.3709150326797386"
"90","0.8","4","0.3599793708096957"
"90","0.8","5","0.352112676056338"
"90","0.8","6","0.2904257767548907"
"90","1.0","3","0.42042274742778424"
"90","1.0","4","0.2873444976076555"
"90","1.0","5","0.3007299270072993"
"90","1.0","6","0.39501825769431403"
"100","0.3","3","0.38382071958288805"
"100","0.3","4","0.26108156028368795"
"100","0.3","5","0.2860038512212425"
"100","0.3","6","0.33902009817541906"
"100","0.5","3","0.2774701253278927"
"100","0.5","4","0.4344770302217111"
"100","0.5","5","0.28214869673944404"
"100","0.5","6","0.390234525182622"
"100","0.6","3","0.2914092664092664"
"100","0.6","4","0.37844611528822053"
"100","0.6","5","0.37844611528822053"
"100","0.6","6","0.39566230870578695"
"100","0.7","3","0.31797083782643354"
"100","0.7","4","0.2891070960984551"
"100","0.7","5","0.3774891774891775"
"100","0.7","6","0.3615023474178403"
"100","0.8","3","0.3709150326797386"
"100","0.8","4","0.29010460057391463"
"100","0.8","5","0.2579710144927536"
"100","0.8","6","0.2936674304099839"
"100","1.0","3","0.30843373493975906"
"100","1.0","4","0.35532306500048433"
"100","1.0","5","0.38723051409618575"
"100","1.0","6","0.41318181818181815"
"110","0.3","3","0.2774701253278927"
