"n_estimators","max_depth","max_features","score"
"100","25","sqrt","-2304348.2749747257"
"100","25","sqrt","-2340672.9727693065"
"100","25","sqrt","-2289938.334035694"
"100","25","sqrt","-2300612.095501909"
"100","25","sqrt","-2317111.111791623"
"100","25","sqrt","-2232739.365116967"
"100","25","sqrt","-2378530.362227876"
"100","25","sqrt","-2316682.6070436793"
"100","25","sqrt","-2314095.7243842315"
"100","25","sqrt","-2303020.126509571"
"100","25","0.5","-2319832.216768221"
"100","25","0.5","-2288871.013971959"
"100","25","0.5","-2362549.0309035876"
"100","25","0.5","-2294062.876633764"
"100","25","0.5","-2337718.6198450094"
"100","25","0.5","-2325841.9750855467"
"100","25","0.5","-2334608.384416488"
"100","25","0.5","-2354466.5761626563"
"100","25","0.5","-2341289.243229159"
"100","25","0.5","-2355857.947926718"
"100","26","sqrt","-2256130.111624373"
"100","26","sqrt","-2287393.593344632"
"100","26","sqrt","-2271109.6800059592"
"100","26","sqrt","-2381848.8019802854"
"100","26","sqrt","-2251285.570967759"
"100","26","sqrt","-2328161.6432850882"
"100","26","sqrt","-2296300.3594555086"
"100","26","sqrt","-2374289.7875365503"
"100","26","sqrt","-2301323.318362156"
"100","26","sqrt","-2316217.0927301585"
"100","26","0.5","-2344593.416424126"
"100","26","0.5","-2390144.645935015"
"100","26","0.5","-2341964.7162420494"
"100","26","0.5","-2330804.1210929626"
"100","26","0.5","-2361198.6212731227"
"100","26","0.5","-2313693.662992815"
"100","26","0.5","-2283476.124476471"
"100","26","0.5","-2338213.0374926706"
"100","26","0.5","-2298761.136604007"
"100","26","0.5","-2286061.9709851393"
"100","27","sqrt","-2382845.220552885"
"100","27","sqrt","-2313898.8448837185"
"100","27","sqrt","-2376127.460576465"
"100","27","sqrt","-2275803.3156599323"
"100","27","sqrt","-2346699.9464221853"
"100","27","sqrt","-2317414.117157458"
"100","27","sqrt","-2299095.2025012174"
"100","27","sqrt","-2302862.324337421"
"100","27","sqrt","-2349186.5525251958"
"100","27","sqrt","-2359448.6553604444"
"100","27","0.5","-2359141.4772497294"
"100","27","0.5","-2289469.8963688915"
"100","27","0.5","-2288660.5634571183"
"100","27","0.5","-2301467.00099405"
"100","27","0.5","-2327820.008750956"
"100","27","0.5","-2338698.2465255684"
"100","27","0.5","-2369186.3587142937"
"100","27","0.5","-2316256.598724282"
"100","27","0.5","-2338062.5035723494"
"100","27","0.5","-2246551.631863649"
"100","28","sqrt","-2356606.088683452"
"100","28","sqrt","-2304215.2407519673"
"100","28","sqrt","-2336521.636166078"
"100","28","sqrt","-2359182.7165906476"
"100","28","sqrt","-2333621.1353573827"
"100","28","sqrt","-2307406.3749390426"
"100","28","sqrt","-2294070.3864975213"
"100","28","sqrt","-2321607.4155174154"
"100","28","sqrt","-2288052.160389532"
"100","28","sqrt","-2340702.544380183"
"100","28","0.5","-2385545.597462569"
"100","28","0.5","-2295729.241119539"
"100","28","0.5","-2295088.7358736964"
"100","28","0.5","-2295219.410069354"
