"n_estimators","max_depth","max_features","score"
"100","22","sqrt","-2320510.3057232345"
"100","22","sqrt","-2356672.3399385936"
"100","22","sqrt","-2359139.048980213"
"100","22","sqrt","-2321473.143583476"
"100","22","sqrt","-2317200.4844437228"
"100","22","sqrt","-2339392.9649034846"
"100","22","sqrt","-2334861.307222337"
"100","22","sqrt","-2273416.420534757"
"100","22","sqrt","-2329136.6530865976"
"100","22","sqrt","-2279303.0719906283"
"100","22","0.5","-2367396.577489521"
"100","22","0.5","-2337065.1313682296"
"100","22","0.5","-2291710.8503204477"
"100","22","0.5","-2325992.062762717"
"100","22","0.5","-2391314.4332905863"
"100","22","0.5","-2322528.7911363444"
"100","22","0.5","-2372131.6348475423"
"100","22","0.5","-2315409.8019885602"
"100","22","0.5","-2367588.1396722295"
"100","22","0.5","-2346933.9818383837"
"100","24","sqrt","-2321159.680357481"
"100","24","sqrt","-2346421.5335138175"
"100","24","sqrt","-2315822.1172071667"
"100","24","sqrt","-2283353.3752411185"
"100","24","sqrt","-2295462.9682167177"
"100","24","sqrt","-2282637.2816529744"
"100","24","sqrt","-2284174.921719632"
"100","24","sqrt","-2324237.1966360663"
"100","24","sqrt","-2341810.8962043966"
"100","24","sqrt","-2338353.1101537445"
"100","24","0.5","-2290489.3953466113"
"100","24","0.5","-2358343.825544208"
"100","24","0.5","-2316607.4344865917"
"100","24","0.5","-2362150.1852308763"
"100","24","0.5","-2326565.6858305437"
"100","24","0.5","-2333402.401223883"
"100","24","0.5","-2346575.913660238"
"100","24","0.5","-2340532.106990508"
"100","24","0.5","-2310346.9809697275"
"100","24","0.5","-2335951.2929435074"
"100","26","sqrt","-2323334.90243996"
"100","26","sqrt","-2357309.725109024"
"100","26","sqrt","-2347486.269459273"
"100","26","sqrt","-2312472.297102279"
"100","26","sqrt","-2289890.941015168"
"100","26","sqrt","-2320078.190689818"
"100","26","sqrt","-2320534.017422286"
"100","26","sqrt","-2298891.337526721"
"100","26","sqrt","-2360003.632592438"
"100","26","sqrt","-2359292.806935038"
"100","26","0.5","-2371810.1734616924"
"100","26","0.5","-2337705.3812205154"
"100","26","0.5","-2380723.0913581173"
"100","26","0.5","-2426098.1469143913"
"100","26","0.5","-2364729.4181189435"
"100","26","0.5","-2341193.306578363"
"100","26","0.5","-2303905.132708379"
"100","26","0.5","-2396227.942301368"
"100","26","0.5","-2306301.272396589"
"100","26","0.5","-2296936.312617511"
"100","28","sqrt","-2285765.8476415295"
"100","28","sqrt","-2255629.9382598777"
"100","28","sqrt","-2329080.020785745"
"100","28","sqrt","-2390963.3949394706"
"100","28","sqrt","-2294500.382323675"
"100","28","sqrt","-2289891.102350546"
"100","28","sqrt","-2336333.94895332"
"100","28","sqrt","-2338745.6391209736"
"100","28","sqrt","-2272816.039153549"
"100","28","sqrt","-2307774.703789694"
"100","28","0.5","-2413231.378137018"
"100","28","0.5","-2281517.513806551"
"100","28","0.5","-2256205.6483700215"
"100","28","0.5","-2286899.2850582036"
"100","28","0.5","-2372845.930538856"
"100","28","0.5","-2305629.1473153033"
"100","28","0.5","-2331572.443910126"
"100","28","0.5","-2235023.654998442"
"100","28","0.5","-2396828.325774386"
"100","28","0.5","-2347297.7251305864"

"kernel","degree","C","score"
"poly","2","1","-2506519.8667604546"
"poly","2","3","-2506519.5858339653"
"poly","2","6","-2506519.1644449458"
"poly","2","10","-2506518.6025942317"
"poly","10","1","-2506519.115738583"
"poly","10","3","-2506517.332783456"
"poly","10","6","-2506514.6583892293"
"poly","10","10","-2506511.092602093"
"poly","30","1","-2506517.5885659535"
"poly","30","3","-2506512.753301388"
"poly","30","6","-2506505.5055325357"
"poly","30","10","-2506492.9241588614"
"poly","50","1","-2506533.4137916663"
"poly","50","3","-2506475.580276939"
"poly","50","6","-2506424.8068647035"
"poly","50","10","-2506333.2256970843"
"poly","75","1","-2506483.348074946"
"poly","75","3","-2506294.3235318884"
"poly","75","6","-2505992.9031093186"
"poly","75","10","-2505532.570965227"
"poly","100","1","-2506258.340745999"
"poly","100","3","-2505228.029602492"
"poly","100","6","-2502900.324117667"
"poly","100","10","-2501470.717689531"
"poly","200","1","-2465636.894892123"
"poly","200","3","-2422083.738319485"
"poly","200","6","-2396352.2065777434"
"poly","200","10","-2407136.497787816"

