"n_estimators","max_depth","max_features","score"
"100","22","sqrt","-5349363.63256072"
"100","22","sqrt","-5308696.242239279"
"100","22","sqrt","-5442399.0746256495"
"100","22","sqrt","-5495226.980581789"
"100","22","sqrt","-5521696.602717367"
"100","22","sqrt","-5397703.23676157"
"100","22","sqrt","-5493473.983846642"
"100","22","sqrt","-5379306.160220316"
"100","22","sqrt","-5357110.591741114"
"100","22","sqrt","-5422301.446258456"
"100","22","0.5","-5288732.799332874"
"100","22","0.5","-5490560.266553179"
"100","22","0.5","-5370641.331765292"
"100","22","0.5","-5336037.694554717"
"100","22","0.5","-5487171.252998197"
"100","22","0.5","-5396740.3581701275"
"100","22","0.5","-5402215.660910898"
"100","22","0.5","-5409185.163524323"
"100","22","0.5","-5298341.809411465"
"100","22","0.5","-5544789.814684009"
"100","24","sqrt","-5249075.78602047"
"100","24","sqrt","-5397523.473168799"
"100","24","sqrt","-5334454.399547024"
"100","24","sqrt","-5371700.060826797"
"100","24","sqrt","-5301428.715505899"
"100","24","sqrt","-5506880.673706343"
"100","24","sqrt","-5524974.8904219465"
"100","24","sqrt","-5411477.389536482"
"100","24","sqrt","-5401264.303438655"
"100","24","sqrt","-5373290.1332126595"
"100","24","0.5","-5336523.21370526"
"100","24","0.5","-5344739.682530035"
"100","24","0.5","-5512195.60784032"
"100","24","0.5","-5512571.874993364"
"100","24","0.5","-5350565.22553017"
"100","24","0.5","-5387623.425446655"
"100","24","0.5","-5383615.659246677"
"100","24","0.5","-5430015.214157347"
"100","24","0.5","-5472370.971891485"
"100","24","0.5","-5350697.81505012"
"100","26","sqrt","-5197933.5310150515"
"100","26","sqrt","-5499080.774118082"
"100","26","sqrt","-5533482.002611878"
"100","26","sqrt","-5396907.4380248515"
"100","26","sqrt","-5324310.19777059"
"100","26","sqrt","-5455880.162991644"
"100","26","sqrt","-5483813.294354997"
"100","26","sqrt","-5352637.19763866"
"100","26","sqrt","-5421514.45392486"
"100","26","sqrt","-5276250.1996224485"
"100","26","0.5","-5479145.5243642675"
"100","26","0.5","-5305227.923967445"
"100","26","0.5","-5392105.040878113"
"100","26","0.5","-5359958.919281895"
"100","26","0.5","-5367588.583467721"
"100","26","0.5","-5509834.668066391"
"100","26","0.5","-5487600.563847497"
"100","26","0.5","-5517049.106378362"
"100","26","0.5","-5461815.59968587"
"100","26","0.5","-5366202.031342898"
"100","28","sqrt","-5333592.393611676"
"100","28","sqrt","-5373036.929869502"
"100","28","sqrt","-5377892.595584641"
"100","28","sqrt","-5448799.0468765125"
"100","28","sqrt","-5458124.277610159"
"100","28","sqrt","-5617506.299990829"
"100","28","sqrt","-5541747.598535442"
"100","28","sqrt","-5337672.383432708"
"100","28","sqrt","-5399745.69423838"
"100","28","sqrt","-5384297.129994298"
"100","28","0.5","-5306630.652778594"
"100","28","0.5","-5390719.88200077"
"100","28","0.5","-5445360.701806454"
"100","28","0.5","-5348482.676270571"
"100","28","0.5","-5493041.19267155"
"100","28","0.5","-5468949.709505289"
"100","28","0.5","-5422556.405191461"
"100","28","0.5","-5414559.771614479"
"100","28","0.5","-5387581.058715604"
"100","28","0.5","-5369517.267915965"

"normalize","score"
"True","-4.47452897117717e+28"
"False","-6301365.9524789965"

"penalty","alpha","score"
"l2","1","-3.853831754713666e+41"
"l2","3","-1.9020388037032608e+41"
"l2","6","-1.7321174316150926e+41"
"l2","10","-1.3897614436244379e+41"
"l2","30","-1.1549411740861206e+41"
"l1","1","-2.0755739793950702e+40"
"l1","3","-2.4593326279045914e+40"
"l1","6","-1.469877091851717e+41"
"l1","10","-4.120767921896102e+39"
"l1","30","-2.061935248656523e+42"
"elasticnet","1","-1.9540199448190723e+41"
"elasticnet","3","-2.0697684902580723e+41"
"elasticnet","6","-1.8243070290406966e+41"
"elasticnet","10","-1.4377212495246293e+41"
"elasticnet","30","-1.2077889833843853e+41"

"alpha","kernel","score"
"1","linear","-6709052.3472189335"
"3","linear","-6536956.667774502"
"6","linear","-6470305.503830059"
"10","linear","-6450230.255871725"
"30","linear","-6450152.748725026"

"alpha","kernel","degree","score"

"alpha","normalize","score"
"1","True","-5619762.363231337"
"1","False","-5534282.702401354"
"3","True","-5622364.270192978"
"3","False","-5513156.387060671"
"6","True","-5622974.7816819055"
"6","False","-5493099.104899426"
"10","True","-5623234.18476976"
"10","False","-5478027.687062044"
"30","True","-5623390.753484752"
"30","False","-5456978.196730492"

